FAC_DERIVED_CB2010,CWA Violations,CAA Violations,RCRA Violations,SDWA Violations,CWA Inspections,CAA Inspections,RCRA Inspections,SDWA Inspections,Facilities,FAC_NAICS_CODES,Total Violations Since 2001,Violations Per Facility Since 2001,Total Inspections Since 2001,Inspections Per Facility Since 2001
02282000100,0.0,1.0,0.0,0.0,0.0,48.0,0.0,0.0,1,221112,1.0,1.0,48.0,48.0
02290000200,0.0,3.0,0.0,0.0,0.0,94.0,10.0,3.0,2,486110 486110,3.0,1.5,107.0,53.5
02290000300,0.0,4.0,0.0,0.0,0.0,44.0,0.0,0.0,1,221112,4.0,4.0,44.0,44.0
02290000400,0.0,2.0,0.0,0.0,0.0,45.0,0.0,0.0,1,212221 48811 21222,2.0,2.0,45.0,45.0
04001944901,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1,486210,0.0,0.0,5.0,5.0
04001944902,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1,486210 48621,1.0,1.0,6.0,6.0
04001945002,422.0,0.0,0.0,0.0,19.0,6.0,0.0,0.0,2,486210 221210 999999 48621 nan,422.0,211.0,25.0,12.5
04001970200,0.0,2.0,2.0,0.0,0.0,33.0,2.0,3.0,1,221112 562212 221111,4.0,4.0,38.0,38.0
04001970300,0.0,1.0,0.0,0.0,0.0,31.0,3.0,0.0,1,221112 22111 221122,1.0,1.0,34.0,34.0
04003000100,0.0,0.0,0.0,0.0,0.0,122.0,2.0,0.0,3,486210 486210 48621 48621 486210,0.0,0.0,124.0,41.333333333333336
04003000203,63.0,1.0,0.0,0.0,1.0,42.0,0.0,0.0,1,221112,64.0,64.0,43.0,43.0
04003000302,0.0,8.0,4.0,0.0,0.0,31.0,6.0,2.0,1,325311 325920,12.0,12.0,39.0,39.0
04003000303,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1,nan,0.0,0.0,26.0,26.0
04003000902,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1,999999 221112,0.0,0.0,35.0,35.0
04003001100,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1,212312 327410 32741,0.0,0.0,33.0,33.0
04003001200,44.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1,221320,44.0,44.0,21.0,21.0
04003001300,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,1,562212 212234,1.0,1.0,32.0,32.0
04005000500,96.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,2,22132 221320 562213,96.0,48.0,24.0,12.0
04005000600,25.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1,221320,25.0,25.0,5.0,5.0
04005000800,7.0,1.0,0.0,0.0,20.0,24.0,0.0,0.0,2,322121 221320,8.0,4.0,44.0,22.0
04005001302,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,1,562212 562111,0.0,0.0,36.0,36.0
